fuel,engine_count,specific_impulse_s,fuel_density_kg_m3,fuel_mass_kg,fuel_volume_m3,fuel_volume_fraction,x51a_fuel_volume_equivalent,available_thrust_N,required_thrust_with_margin_N,powerplant_mass_kg,powerplant_mass_per_engine_kg,takeoff_mass_kg,takeoff_weight_N
JP-7,6,2100.0,803.0,29907.6,37.245,0.148979,244.203,360000.0,244392.8,2502.1,417.0,57587.0,564735.7
JP-7,6,2150.0,803.0,28934.7,36.033,0.144133,236.260,360000.0,244392.8,2502.1,417.0,56614.2,555195.6
JP-7,6,2200.0,803.0,28021.5,34.896,0.139584,228.803,360000.0,244392.8,2502.1,417.0,55700.9,546239.5
JP-7,6,2250.0,803.0,27162.6,33.826,0.135305,221.790,360000.0,244392.8,2502.1,417.0,54842.0,537816.5
JP-7,6,2300.0,803.0,26353.4,32.819,0.131275,215.183,360000.0,244392.8,2502.1,417.0,54032.8,529881.2
JP-7,6,2350.0,803.0,25589.8,31.868,0.127471,208.948,360000.0,244392.8,2502.1,417.0,53269.3,522393.4
JP-7,6,2400.0,803.0,24868.2,30.969,0.123877,203.056,360000.0,244392.8,2502.1,417.0,52547.7,515316.9
JP-7,6,2450.0,803.0,24185.3,30.119,0.120475,197.479,360000.0,244392.8,2502.1,417.0,51864.7,508619.3
JP-7,6,2500.0,803.0,23538.0,29.313,0.117250,192.194,360000.0,244392.8,2502.1,417.0,51217.4,502271.5
JP-7,8,2100.0,803.0,29907.6,37.245,0.148979,244.203,480000.0,244392.8,2502.1,312.8,57587.0,564735.7
JP-7,8,2150.0,803.0,28934.7,36.033,0.144133,236.260,480000.0,244392.8,2502.1,312.8,56614.2,555195.6
JP-7,8,2200.0,803.0,28021.5,34.896,0.139584,228.803,480000.0,244392.8,2502.1,312.8,55700.9,546239.5
JP-7,8,2250.0,803.0,27162.6,33.826,0.135305,221.790,480000.0,244392.8,2502.1,312.8,54842.0,537816.5
JP-7,8,2300.0,803.0,26353.4,32.819,0.131275,215.183,480000.0,244392.8,2502.1,312.8,54032.8,529881.2
JP-7,8,2350.0,803.0,25589.8,31.868,0.127471,208.948,480000.0,244392.8,2502.1,312.8,53269.3,522393.4
JP-7,8,2400.0,803.0,24868.2,30.969,0.123877,203.056,480000.0,244392.8,2502.1,312.8,52547.7,515316.9
JP-7,8,2450.0,803.0,24185.3,30.119,0.120475,197.479,480000.0,244392.8,2502.1,312.8,51864.7,508619.3
JP-7,8,2500.0,803.0,23538.0,29.313,0.117250,192.194,480000.0,244392.8,2502.1,312.8,51217.4,502271.5
JP-7,10,2100.0,803.0,29907.6,37.245,0.148979,244.203,600000.0,244392.8,2502.1,250.2,57587.0,564735.7
JP-7,10,2150.0,803.0,28934.7,36.033,0.144133,236.260,600000.0,244392.8,2502.1,250.2,56614.2,555195.6
JP-7,10,2200.0,803.0,28021.5,34.896,0.139584,228.803,600000.0,244392.8,2502.1,250.2,55700.9,546239.5
JP-7,10,2250.0,803.0,27162.6,33.826,0.135305,221.790,600000.0,244392.8,2502.1,250.2,54842.0,537816.5
JP-7,10,2300.0,803.0,26353.4,32.819,0.131275,215.183,600000.0,244392.8,2502.1,250.2,54032.8,529881.2
JP-7,10,2350.0,803.0,25589.8,31.868,0.127471,208.948,600000.0,244392.8,2502.1,250.2,53269.3,522393.4
JP-7,10,2400.0,803.0,24868.2,30.969,0.123877,203.056,600000.0,244392.8,2502.1,250.2,52547.7,515316.9
JP-7,10,2450.0,803.0,24185.3,30.119,0.120475,197.479,600000.0,244392.8,2502.1,250.2,51864.7,508619.3
JP-7,10,2500.0,803.0,23538.0,29.313,0.117250,192.194,600000.0,244392.8,2502.1,250.2,51217.4,502271.5
JP-7,12,2100.0,803.0,29907.6,37.245,0.148979,244.203,720000.0,244392.8,2502.1,208.5,57587.0,564735.7
JP-7,12,2150.0,803.0,28934.7,36.033,0.144133,236.260,720000.0,244392.8,2502.1,208.5,56614.2,555195.6
JP-7,12,2200.0,803.0,28021.5,34.896,0.139584,228.803,720000.0,244392.8,2502.1,208.5,55700.9,546239.5
JP-7,12,2250.0,803.0,27162.6,33.826,0.135305,221.790,720000.0,244392.8,2502.1,208.5,54842.0,537816.5
JP-7,12,2300.0,803.0,26353.4,32.819,0.131275,215.183,720000.0,244392.8,2502.1,208.5,54032.8,529881.2
JP-7,12,2350.0,803.0,25589.8,31.868,0.127471,208.948,720000.0,244392.8,2502.1,208.5,53269.3,522393.4
JP-7,12,2400.0,803.0,24868.2,30.969,0.123877,203.056,720000.0,244392.8,2502.1,208.5,52547.7,515316.9
JP-7,12,2450.0,803.0,24185.3,30.119,0.120475,197.479,720000.0,244392.8,2502.1,208.5,51864.7,508619.3
JP-7,12,2500.0,803.0,23538.0,29.313,0.117250,192.194,720000.0,244392.8,2502.1,208.5,51217.4,502271.5
JP-7,14,2100.0,803.0,29907.6,37.245,0.148979,244.203,840000.0,244392.8,2502.1,178.7,57587.0,564735.7
JP-7,14,2150.0,803.0,28934.7,36.033,0.144133,236.260,840000.0,244392.8,2502.1,178.7,56614.2,555195.6
JP-7,14,2200.0,803.0,28021.5,34.896,0.139584,228.803,840000.0,244392.8,2502.1,178.7,55700.9,546239.5
JP-7,14,2250.0,803.0,27162.6,33.826,0.135305,221.790,840000.0,244392.8,2502.1,178.7,54842.0,537816.5
JP-7,14,2300.0,803.0,26353.4,32.819,0.131275,215.183,840000.0,244392.8,2502.1,178.7,54032.8,529881.2
JP-7,14,2350.0,803.0,25589.8,31.868,0.127471,208.948,840000.0,244392.8,2502.1,178.7,53269.3,522393.4
JP-7,14,2400.0,803.0,24868.2,30.969,0.123877,203.056,840000.0,244392.8,2502.1,178.7,52547.7,515316.9
JP-7,14,2450.0,803.0,24185.3,30.119,0.120475,197.479,840000.0,244392.8,2502.1,178.7,51864.7,508619.3
JP-7,14,2500.0,803.0,23538.0,29.313,0.117250,192.194,840000.0,244392.8,2502.1,178.7,51217.4,502271.5
JP-7,16,2100.0,803.0,29907.6,37.245,0.148979,244.203,960000.0,244392.8,2502.1,156.4,57587.0,564735.7
JP-7,16,2150.0,803.0,28934.7,36.033,0.144133,236.260,960000.0,244392.8,2502.1,156.4,56614.2,555195.6
JP-7,16,2200.0,803.0,28021.5,34.896,0.139584,228.803,960000.0,244392.8,2502.1,156.4,55700.9,546239.5
JP-7,16,2250.0,803.0,27162.6,33.826,0.135305,221.790,960000.0,244392.8,2502.1,156.4,54842.0,537816.5
JP-7,16,2300.0,803.0,26353.4,32.819,0.131275,215.183,960000.0,244392.8,2502.1,156.4,54032.8,529881.2
JP-7,16,2350.0,803.0,25589.8,31.868,0.127471,208.948,960000.0,244392.8,2502.1,156.4,53269.3,522393.4
JP-7,16,2400.0,803.0,24868.2,30.969,0.123877,203.056,960000.0,244392.8,2502.1,156.4,52547.7,515316.9
JP-7,16,2450.0,803.0,24185.3,30.119,0.120475,197.479,960000.0,244392.8,2502.1,156.4,51864.7,508619.3
JP-7,16,2500.0,803.0,23538.0,29.313,0.117250,192.194,960000.0,244392.8,2502.1,156.4,51217.4,502271.5
