index,lat_deg,lon_deg,cumulative_surface_distance_km,cumulative_flight_distance_km,density_kg_m3,temperature_k
811,33.284325,139.592055,10726.383,10762.305,0.07416841,211.458
812,33.207046,139.486750,10739.411,10775.377,0.07418352,211.423
813,33.129804,139.381416,10752.446,10788.455,0.07419843,211.388
814,33.052599,139.276053,10765.486,10801.539,0.07421342,211.353
815,32.975429,139.170663,10778.532,10814.628,0.07422853,211.318
816,32.898295,139.065246,10791.583,10827.724,0.07424331,211.283
817,32.821194,138.959803,10804.641,10840.825,0.07425816,211.249
818,32.744127,138.854336,10817.704,10853.932,0.07427288,211.214
819,32.667092,138.748845,10830.773,10867.044,0.07428773,211.180
820,32.590088,138.643331,10843.848,10880.163,0.07430252,211.145
821,32.513115,138.537795,10856.928,10893.287,0.07431717,211.111
822,32.436172,138.432238,10870.014,10906.417,0.07433169,211.076
823,32.359258,138.326661,10883.106,10919.553,0.07434613,211.042
824,32.282373,138.221064,10896.204,10932.695,0.07436080,211.008
825,32.205514,138.115448,10909.308,10945.842,0.07437539,210.974
826,32.128682,138.009815,10922.417,10958.995,0.07438978,210.940
827,32.051876,137.904166,10935.531,10972.154,0.07440437,210.906
828,31.975095,137.798501,10948.652,10985.318,0.07441869,210.873
829,31.898339,137.692820,10961.778,10998.488,0.07443309,210.839
830,31.821605,137.587126,10974.910,11011.664,0.07444735,210.806
831,31.744895,137.481419,10988.047,11024.845,0.07446175,210.772
832,31.668206,137.375700,11001.190,11038.032,0.07447594,210.739
833,31.591538,137.269970,11014.338,11051.224,0.07449014,210.705
834,31.514891,137.164229,11027.492,11064.422,0.07450427,210.672
835,31.438264,137.058479,11040.652,11077.626,0.07451840,210.639
836,31.361655,136.952720,11053.817,11090.835,0.07453246,210.606
837,31.285065,136.846954,11066.987,11104.050,0.07454661,210.573
838,31.208492,136.741181,11080.163,11117.270,0.07456074,210.540
839,31.131936,136.635403,11093.345,11130.495,0.07457446,210.508
840,31.055395,136.529620,11106.531,11143.726,0.07458840,210.475
841,30.978871,136.423833,11119.724,11156.963,0.07460234,210.442
842,30.902360,136.318043,11132.921,11170.204,0.07461606,210.410
843,30.825864,136.212251,11146.124,11183.452,0.07462993,210.378
844,30.749381,136.106458,11159.332,11196.704,0.07464388,210.345
845,30.672910,136.000664,11172.546,11209.962,0.07465747,210.313
846,30.596451,135.894872,11185.764,11223.224,0.07467122,210.281
847,30.520004,135.789081,11198.988,11236.492,0.07468474,210.249
848,30.443566,135.683293,11212.217,11249.766,0.07469827,210.217
849,30.367139,135.577508,11225.451,11263.044,0.07471209,210.185
850,30.290721,135.471728,11238.690,11276.328,0.07472555,210.153
851,30.214311,135.365953,11251.935,11289.616,0.07473896,210.122
852,30.137909,135.260185,11265.184,11302.910,0.07475236,210.090
853,30.061515,135.154423,11278.438,11316.209,0.07476570,210.059
854,29.985126,135.048670,11291.697,11329.512,0.07477932,210.027
855,29.908744,134.942926,11304.962,11342.821,0.07479244,209.996
856,29.832368,134.837192,11318.231,11356.134,0.07480571,209.965
857,29.755995,134.731469,11331.504,11369.453,0.07481906,209.934
858,29.679627,134.625758,11344.783,11382.776,0.07483205,209.903
859,29.603263,134.520060,11358.067,11396.104,0.07484525,209.872
860,29.526901,134.414376,11371.355,11409.437,0.07485825,209.841
861,29.450542,134.308706,11384.648,11422.774,0.07487147,209.810
862,29.374184,134.203052,11397.945,11436.116,0.07488447,209.779
863,29.297827,134.097414,11411.247,11449.463,0.07489741,209.749
864,29.221471,133.991794,11424.554,11462.814,0.07491034,209.718
865,29.145114,133.886193,11437.865,11476.170,0.07492335,209.688
866,29.068757,133.780610,11451.181,11489.530,0.07493600,209.658
867,28.992399,133.675048,11464.501,11502.895,0.07494895,209.628
868,28.916039,133.569507,11477.825,11516.264,0.07496176,209.597
869,28.839677,133.463989,11491.154,11529.637,0.07497443,209.567
870,28.763311,133.358493,11504.487,11543.015,0.07498708,209.537
871,28.686942,133.253022,11517.825,11556.397,0.07499962,209.508
872,28.610569,133.147575,11531.166,11569.783,0.07501243,209.478
873,28.534192,133.042154,11544.512,11583.174,0.07502475,209.448
874,28.457809,132.936760,11557.862,11596.568,0.07503729,209.419
875,28.381421,132.831394,11571.215,11609.967,0.07504976,209.389
876,28.305027,132.726057,11584.573,11623.369,0.07506215,209.360
877,28.228626,132.620749,11597.935,11636.776,0.07507462,209.331
878,28.152217,132.515471,11611.301,11650.186,0.07508674,209.301
879,28.075801,132.410225,11624.670,11663.600,0.07509900,209.272
880,27.999377,132.305012,11638.044,11677.019,0.07511140,209.243
881,27.922944,132.199831,11651.421,11690.440,0.07512346,209.214
882,27.846502,132.094685,11664.801,11703.866,0.07513558,209.185
883,27.770050,131.989575,11678.186,11717.295,0.07514771,209.157
884,27.693588,131.884500,11691.574,11730.728,0.07515985,209.128
885,27.617115,131.779462,11704.965,11744.164,0.07517191,209.100
886,27.540631,131.674462,11718.360,11757.604,0.07518382,209.071
887,27.464135,131.569501,11731.759,11771.048,0.07519560,209.043
888,27.387628,131.464580,11745.161,11784.494,0.07520739,209.014
889,27.311107,131.359700,11758.566,11797.944,0.07521931,208.986
890,27.234574,131.254861,11771.974,11811.398,0.07523117,208.958
891,27.158026,131.150064,11785.386,11824.854,0.07524282,208.930
892,27.081465,131.045312,11798.801,11838.314,0.07525454,208.902
893,27.004890,130.940603,11812.219,11851.777,0.07526612,208.874
894,26.928299,130.835940,11825.640,11865.243,0.07527769,208.847
895,26.851694,130.731323,11839.064,11878.712,0.07528935,208.819
896,26.775072,130.626753,11852.490,11892.183,0.07530072,208.792
897,26.698434,130.522232,11865.920,11905.658,0.07531224,208.764
898,26.621780,130.417759,11879.353,11919.136,0.07532348,208.737
899,26.545108,130.313336,11892.788,11932.616,0.07533492,208.710
900,26.468419,130.208964,11906.226,11946.099,0.07534623,208.682
901,26.391712,130.104644,11919.667,11959.585,0.07535747,208.655
902,26.314986,130.000376,11933.110,11973.073,0.07536857,208.628
903,26.238242,129.896162,11946.556,11986.564,0.07537988,208.601
904,26.161478,129.792002,11960.004,12000.057,0.07539106,208.575
905,26.084695,129.687897,11973.454,12013.553,0.07540201,208.548
906,26.007892,129.583849,11986.907,12027.051,0.07541312,208.521
907,25.931069,129.479858,12000.362,12040.551,0.07542402,208.495
908,25.854224,129.375925,12013.820,12054.053,0.07543512,208.468
909,25.777359,129.272050,12027.280,12067.558,0.07544580,208.442
910,25.700471,129.168236,12040.741,12081.065,0.07545670,208.416
911,25.623562,129.064482,12054.205,12094.574,0.07546738,208.390
912,25.546630,128.960790,12067.671,12108.085,0.07547808,208.364
913,25.469676,128.857161,12081.138,12121.597,0.07548875,208.338
914,25.392698,128.753595,12094.608,12135.112,0.07549945,208.312
915,25.315697,128.650093,12108.079,12148.628,0.07550992,208.286
916,25.238672,128.546656,12121.552,12162.147,0.07552055,208.260
917,25.161623,128.443286,12135.027,12175.666,0.07553096,208.235
918,25.084549,128.339982,12148.504,12189.188,0.07554136,208.209
919,25.007450,128.236747,12161.981,12202.711,0.07555171,208.184
920,24.930325,128.133579,12175.461,12216.236,0.07556212,208.159
921,24.853175,128.030482,12188.942,12229.761,0.07557233,208.133
922,24.775999,127.927455,12202.424,12243.289,0.07558253,208.108
923,24.698796,127.824499,12215.907,12256.817,0.07559273,208.083
924,24.621567,127.721616,12229.392,12270.347,0.07560279,208.058
925,24.544310,127.618806,12242.878,12283.878,0.07561293,208.034
926,24.467026,127.516069,12256.365,12297.411,0.07562285,208.009
927,24.389714,127.413408,12269.853,12310.944,0.07563278,207.984
928,24.312373,127.310822,12283.342,12324.478,0.07564270,207.960
929,24.235004,127.208313,12296.832,12338.013,0.07565248,207.935
930,24.157607,127.105881,12310.323,12351.549,0.07566241,207.911
931,24.080180,127.003528,12323.815,12365.086,0.07567213,207.887
932,24.002723,126.901253,12337.307,12378.624,0.07568185,207.862
933,23.925236,126.799059,12350.800,12392.162,0.07569149,207.838
934,23.847720,126.696946,12364.294,12405.701,0.07570100,207.814
935,23.770172,126.594914,12377.788,12419.241,0.07571065,207.790
936,23.692594,126.492965,12391.283,12432.781,0.07572000,207.767
937,23.614985,126.391099,12404.778,12446.321,0.07572944,207.743
938,23.537344,126.289317,12418.274,12459.862,0.07573881,207.719
939,23.459671,126.187621,12431.770,12473.403,0.07574818,207.696
940,23.381966,126.086010,12445.266,12486.944,0.07575747,207.672
941,23.304229,125.984486,12458.762,12500.486,0.07576656,207.649
942,23.226459,125.883050,12472.259,12514.027,0.07577585,207.626
943,23.148655,125.781703,12485.755,12527.569,0.07578480,207.603
944,23.070818,125.680444,12499.252,12541.111,0.07579382,207.579
945,22.992948,125.579276,12512.748,12554.652,0.07580304,207.557
946,22.915043,125.478198,12526.244,12568.194,0.07581177,207.534
947,22.837104,125.377213,12539.740,12581.735,0.07582073,207.511
948,22.759130,125.276320,12553.236,12595.276,0.07582967,207.488
949,22.681122,125.175520,12566.732,12608.817,0.07583848,207.466
950,22.603077,125.074814,12580.227,12622.357,0.07584700,207.443
951,22.524998,124.974204,12593.722,12635.897,0.07585573,207.421
952,22.446882,124.873689,12607.216,12649.437,0.07586447,207.398
953,22.368731,124.773271,12620.710,12662.975,0.07587285,207.376
954,22.290542,124.672951,12634.203,12676.514,0.07588138,207.354
955,22.212317,124.572729,12647.695,12690.051,0.07588975,207.332
956,22.134055,124.472605,12661.187,12703.588,0.07589828,207.310
957,22.055755,124.372582,12674.677,12717.124,0.07590646,207.288
958,21.977418,124.272659,12688.167,12730.659,0.07591490,207.267
959,21.899043,124.172838,12701.657,12744.193,0.07592301,207.245
960,21.820629,124.073119,12715.145,12757.727,0.07593103,207.223
961,21.742177,123.973503,12728.632,12771.259,0.07593906,207.202
962,21.663686,123.873991,12742.118,12784.790,0.07594724,207.181
963,21.585155,123.774583,12755.602,12798.320,0.07595527,207.159
964,21.506586,123.675281,12769.086,12811.849,0.07596308,207.138
965,21.427976,123.576085,12782.568,12825.376,0.07597104,207.117
966,21.349326,123.476995,12796.049,12838.902,0.07597879,207.096
967,21.270636,123.378014,12809.529,12852.427,0.07598647,207.075
968,21.191906,123.279141,12823.007,12865.950,0.07599429,207.054
969,21.113134,123.180377,12836.484,12879.472,0.07600203,207.034
970,21.034321,123.081723,12849.959,12892.993,0.07600950,207.013
971,20.955467,122.983180,12863.432,12906.511,0.07601704,206.992
972,20.876570,122.884749,12876.904,12920.028,0.07602450,206.972
973,20.797632,122.786430,12890.374,12933.543,0.07603196,206.952
974,20.718651,122.688223,12903.843,12947.057,0.07603928,206.931
975,20.639628,122.590131,12917.309,12960.568,0.07604653,206.911
976,20.560561,122.492153,12930.774,12974.078,0.07605378,206.891
977,20.481451,122.394290,12944.237,12987.586,0.07606089,206.871
978,20.402298,122.296544,12957.697,13001.092,0.07606807,206.851
979,20.323100,122.198914,12971.156,13014.595,0.07607511,206.832
980,20.243859,122.101401,12984.612,13028.097,0.07608207,206.812
981,20.164573,122.004007,12998.067,13041.596,0.07608890,206.792
982,20.085242,121.906732,13011.519,13055.093,0.07609579,206.773
983,20.005866,121.809576,13024.969,13068.588,0.07610255,206.753
984,19.926445,121.712541,13038.416,13082.081,0.07610951,206.734
985,19.846978,121.615627,13051.861,13095.571,0.07611613,206.715
986,19.767465,121.518835,13065.304,13109.059,0.07612274,206.696
987,19.687906,121.422165,13078.744,13122.544,0.07612928,206.677
988,19.608300,121.325619,13092.182,13136.027,0.07613567,206.658
989,19.528647,121.229196,13105.617,13149.507,0.07614221,206.639
990,19.448947,121.132898,13119.050,13162.985,0.07614867,206.620
991,19.369200,121.036726,13132.480,13176.460,0.07615501,206.601
992,19.289405,120.940680,13145.907,13189.932,0.07616119,206.583
993,19.209562,120.844760,13159.332,13203.401,0.07616745,206.564
994,19.129670,120.748968,13172.753,13216.868,0.07617355,206.546
995,19.049730,120.653304,13186.172,13230.332,0.07617952,206.528
996,18.969741,120.557769,13199.588,13243.792,0.07618572,206.509
997,18.889702,120.462363,13213.001,13257.250,0.07619160,206.491
998,18.809614,120.367088,13226.411,13270.705,0.07619743,206.473
999,18.729476,120.271944,13239.818,13284.157,0.07620340,206.455
1000,18.649287,120.176931,13253.221,13297.606,0.07620908,206.438
1001,18.569048,120.082050,13266.622,13311.051,0.07621484,206.420
1002,18.488758,119.987302,13280.020,13324.493,0.07622045,206.402
1003,18.408417,119.892688,13293.414,13337.933,0.07622613,206.385
1004,18.328024,119.798209,13306.805,13351.368,0.07623167,206.367
1005,18.247579,119.703864,13320.193,13364.801,0.07623707,206.350
1006,18.167083,119.609654,13333.577,13378.230,0.07624254,206.332
1007,18.086533,119.515581,13346.958,13391.656,0.07624801,206.315
1008,18.005931,119.421645,13360.336,13405.078,0.07625319,206.298
1009,17.925276,119.327846,13373.710,13418.497,0.07625844,206.281
1010,17.844567,119.234186,13387.080,13431.913,0.07626362,206.264
1011,17.763804,119.140664,13400.448,13445.325,0.07626859,206.247
1012,17.682987,119.047282,13413.811,13458.733,0.07627364,206.231
1013,17.602115,118.954040,13427.171,13472.138,0.07627860,206.214
1014,17.521189,118.860939,13440.527,13485.539,0.07628342,206.197
1015,17.440207,118.767979,13453.880,13498.936,0.07628839,206.181
1016,17.359170,118.675161,13467.229,13512.329,0.07629320,206.165
1017,17.278077,118.582485,13480.574,13525.719,0.07629796,206.148
1018,17.196928,118.489953,13493.915,13539.105,0.07630250,206.132
1019,17.115722,118.397565,13507.253,13552.487,0.07630718,206.116
1020,17.034459,118.305321,13520.586,13565.866,0.07631171,206.100
1021,16.953138,118.213223,13533.916,13579.240,0.07631610,206.084
1022,16.871760,118.121270,13547.242,13592.611,0.07632072,206.068
1023,16.790324,118.029463,13560.564,13605.977,0.07632490,206.052
1024,16.708830,117.937804,13573.882,13619.340,0.07632943,206.037
1025,16.627276,117.846292,13587.196,13632.698,0.07633354,206.021
1026,16.545664,117.754928,13600.505,13646.053,0.07633771,206.006
1027,16.463992,117.663713,13613.811,13659.403,0.07634167,205.990
1028,16.382260,117.572647,13627.113,13672.749,0.07634585,205.975
1029,16.300467,117.481731,13640.411,13686.091,0.07634974,205.960
1030,16.218614,117.390966,13653.704,13699.429,0.07635370,205.945
1031,16.136700,117.300352,13666.993,13712.763,0.07635767,205.930
1032,16.054724,117.209889,13680.278,13726.093,0.07636148,205.915
1033,15.972687,117.119579,13693.559,13739.418,0.07636508,205.900
1034,15.890587,117.029422,13706.836,13752.739,0.07636876,205.885
1035,15.808424,116.939418,13720.108,13766.056,0.07637228,205.870
1036,15.726198,116.849568,13733.377,13779.369,0.07637596,205.856
1037,15.643909,116.759873,13746.640,13792.677,0.07637942,205.841
1038,15.561556,116.670332,13759.900,13805.981,0.07638265,205.827
1039,15.479139,116.580948,13773.155,13819.280,0.07638612,205.813
1040,15.396656,116.491720,13786.406,13832.575,0.07638944,205.798
1041,15.314109,116.402648,13799.652,13845.866,0.07639267,205.784
1042,15.231496,116.313734,13812.894,13859.153,0.07639584,205.770
1043,15.148817,116.224978,13826.132,13872.435,0.07639894,205.756
1044,15.066071,116.136381,13839.365,13885.712,0.07640204,205.742
1045,14.983259,116.047942,13852.594,13898.985,0.07640491,205.728
1046,14.900379,115.959663,13865.818,13912.254,0.07640780,205.715
1047,14.817431,115.871545,13879.038,13925.518,0.07641068,205.701
1048,14.734415,115.783586,13892.253,13938.777,0.07641356,205.688
1049,14.651331,115.695790,13905.464,13952.033,0.07641622,205.674
1050,14.568177,115.608155,13918.671,13965.283,0.07641903,205.661
1051,14.484953,115.520682,13931.873,13978.529,0.07642141,205.648
1052,14.401659,115.433372,13945.070,13991.771,0.07642407,205.634
1053,14.318295,115.346225,13958.263,14005.008,0.07642645,205.621
1054,14.234860,115.259242,13971.451,14018.241,0.07642883,205.608
1055,14.151353,115.172424,13984.635,14031.469,0.07643120,205.595
1056,14.067774,115.085770,13997.814,14044.692,0.07643358,205.582
1057,13.984122,114.999283,14010.989,14057.911,0.07643588,205.570
1058,13.900398,114.912960,14024.159,14071.125,0.07643797,205.557
1059,13.816600,114.826805,14037.325,14084.335,0.07644005,205.545
1060,13.732728,114.740816,14050.486,14097.540,0.07644200,205.532
1061,13.648781,114.654995,14063.643,14110.741,0.07644409,205.520
1062,13.564759,114.569342,14076.795,14123.937,0.07644589,205.507
1063,13.480662,114.483858,14089.943,14137.129,0.07644776,205.495
1064,13.396489,114.398542,14103.086,14150.316,0.07644955,205.483
1065,13.312239,114.313396,14116.224,14163.498,0.07645142,205.471
1066,13.227911,114.228420,14129.358,14176.676,0.07645300,205.459
1067,13.143506,114.143615,14142.487,14189.850,0.07645466,205.447
1068,13.059023,114.058980,14155.612,14203.019,0.07645610,205.435
1069,12.974461,113.974517,14168.733,14216.183,0.07645768,205.424
1070,12.889820,113.890226,14181.849,14229.343,0.07645897,205.412
1071,12.805099,113.806103,14194.961,14242.498,0.07646055,205.400
1072,12.720300,113.722148,14208.068,14255.650,0.07646163,205.389
1073,12.635421,113.638357,14221.172,14268.797,0.07646291,205.378
1074,12.550463,113.554731,14234.271,14281.941,0.07646407,205.366
1075,12.465427,113.471265,14247.367,14295.081,0.07646529,205.355
1076,12.380311,113.387959,14260.460,14308.217,0.07646629,205.344
1077,12.295116,113.304811,14273.549,14321.350,0.07646729,205.333
1078,12.209843,113.221818,14286.634,14334.479,0.07646815,205.322
1079,12.124491,113.138980,14299.717,14347.606,0.07646915,205.311
1080,12.039060,113.056293,14312.796,14360.729,0.07646994,205.301
1081,11.953551,112.973756,14325.873,14373.849,0.07647073,205.290
1082,11.867964,112.891367,14338.947,14386.967,0.07647137,205.279
1083,11.782298,112.809125,14352.018,14400.082,0.07647201,205.269
1084,11.696554,112.727028,14365.086,14413.194,0.07647258,205.258
1085,11.610732,112.645073,14378.153,14426.304,0.07647322,205.248
1086,11.524832,112.563260,14391.217,14439.412,0.07647357,205.238
1087,11.438855,112.481586,14404.278,14452.517,0.07647392,205.228
1088,11.352800,112.400050,14417.338,14465.620,0.07647426,205.217
1089,11.266668,112.318650,14430.395,14478.722,0.07647455,205.208
1090,11.180459,112.237384,14443.451,14491.821,0.07647461,205.198
1091,11.094173,112.156250,14456.505,14504.919,0.07647482,205.188
1092,11.007811,112.075248,14469.558,14518.015,0.07647510,205.178
1093,10.921372,111.994374,14482.609,14531.110,0.07647509,205.168
1094,10.834857,111.913629,14495.658,14544.203,0.07647501,205.159
1095,10.748266,111.833009,14508.706,14557.295,0.07647492,205.149
1096,10.661599,111.752514,14521.753,14570.385,0.07647477,205.140
1097,10.574857,111.672141,14534.799,14583.475,0.07647461,205.131
1098,10.488040,111.591890,14547.843,14596.563,0.07647424,205.122
1099,10.401149,111.511758,14560.887,14609.650,0.07647401,205.112
1100,10.314182,111.431744,14573.930,14622.737,0.07647350,205.103
1101,10.227142,111.351847,14586.972,14635.822,0.07647312,205.094
1102,10.140028,111.272065,14600.013,14648.907,0.07647268,205.086
1103,10.052840,111.192397,14613.053,14661.991,0.07647209,205.077
1104,9.965580,111.112840,14626.093,14675.075,0.07647149,205.068
1105,9.878246,111.033394,14639.133,14688.158,0.07647084,205.059
1106,9.790841,110.954057,14652.172,14701.241,0.07647017,205.051
1107,9.703363,110.874828,14665.210,14714.323,0.07646937,205.043
1108,9.615814,110.795705,14678.248,14727.405,0.07646848,205.034
1109,9.528193,110.716686,14691.287,14740.487,0.07646768,205.026
1110,9.440502,110.637771,14704.324,14753.568,0.07646681,205.018
1111,9.352741,110.558958,14717.362,14766.650,0.07646570,205.010
1112,9.264910,110.480245,14730.400,14779.731,0.07646453,205.002
1113,9.177010,110.401632,14743.438,14792.812,0.07646351,204.994
1114,9.089040,110.323116,14756.476,14805.894,0.07646234,204.986
1115,9.001003,110.244697,14769.513,14818.975,0.07646118,204.978
1116,8.912897,110.166374,14782.551,14832.057,0.07645986,204.970
1117,8.824725,110.088144,14795.590,14845.139,0.07645861,204.963
1118,8.736485,110.010006,14808.628,14858.221,0.07645716,204.955
1119,8.648179,109.931960,14821.667,14871.304,0.07645570,204.948
1120,8.559808,109.854004,14834.706,14884.386,0.07645431,204.941
1121,8.471371,109.776136,14847.745,14897.469,0.07645264,204.934
1122,8.382870,109.698356,14860.785,14910.553,0.07645111,204.926
1123,8.294305,109.620662,14873.826,14923.637,0.07644951,204.919
1124,8.205677,109.543054,14886.866,14936.721,0.07644797,204.912
1125,8.116986,109.465529,14899.907,14949.806,0.07644616,204.905
1126,8.028232,109.388087,14912.949,14962.891,0.07644419,204.899
1127,7.939418,109.310726,14925.991,14975.977,0.07644244,204.892
1128,7.850543,109.233445,14939.034,14989.064,0.07644047,204.885
1129,7.761607,109.156244,14952.077,15002.151,0.07643858,204.879
1130,7.672612,109.079120,14965.121,15015.238,0.07643654,204.872
1131,7.583559,109.002074,14978.166,15028.327,0.07643443,204.866
1132,7.494447,108.925103,14991.211,15041.415,0.07643246,204.860
1133,7.405279,108.848207,15004.257,15054.505,0.07643035,204.854
1134,7.316054,108.771384,15017.303,15067.595,0.07642817,204.848
1135,7.226773,108.694634,15030.350,15080.685,0.07642585,204.841
1136,7.137437,108.617955,15043.398,15093.777,0.07642359,204.836
1137,7.048047,108.541346,15056.446,15106.869,0.07642119,204.830
1138,6.958604,108.464807,15069.495,15119.961,0.07641871,204.824
1139,6.869108,108.388336,15082.544,15133.054,0.07641624,204.818
1140,6.779560,108.311932,15095.594,15146.148,0.07641385,204.813
1141,6.689962,108.235595,15108.645,15159.243,0.07641122,204.807
1142,6.600314,108.159322,15121.696,15172.337,0.07640876,204.802
1143,6.510616,108.083114,15134.748,15185.433,0.07640614,204.797
1144,6.420870,108.006970,15147.800,15198.529,0.07640337,204.791
1145,6.331077,107.930888,15160.853,15211.626,0.07640068,204.786
1146,6.241238,107.854867,15173.907,15224.723,0.07639800,204.781
1147,6.151353,107.778907,15186.961,15237.821,0.07639509,204.776
1148,6.061423,107.703006,15200.015,15250.919,0.07639233,204.771
1149,5.971450,107.627164,15213.070,15264.017,0.07638928,204.766
1150,5.881435,107.551380,15226.125,15277.116,0.07638644,204.762
1151,5.791377,107.475652,15239.181,15290.216,0.07638339,204.757
1152,5.701279,107.399981,15252.237,15303.315,0.07638063,204.753
1153,5.611142,107.324365,15265.293,15316.415,0.07637729,204.748
1154,5.520966,107.248803,15278.350,15329.516,0.07637431,204.744
1155,5.430752,107.173295,15291.406,15342.616,0.07637103,204.740
1156,5.340502,107.097840,15304.463,15355.717,0.07636791,204.735
1157,5.250217,107.022436,15317.521,15368.818,0.07636472,204.731
1158,5.159897,106.947084,15330.578,15381.919,0.07636152,204.727
1159,5.069544,106.871782,15343.635,15395.020,0.07635818,204.723
1160,4.979159,106.796530,15356.692,15408.121,0.07635484,204.719
1161,4.888743,106.721326,15369.749,15421.221,0.07635150,204.716
1162,4.798297,106.646171,15382.806,15434.322,0.07634794,204.712
1163,4.707823,106.571063,15395.863,15447.423,0.07634453,204.708
1164,4.617321,106.496001,15408.920,15460.523,0.07634112,204.705
1165,4.526793,106.420986,15421.976,15473.623,0.07633749,204.702
1166,4.436240,106.346015,15435.032,15486.723,0.07633393,204.698
1167,4.345663,106.271090,15448.087,15499.822,0.07633023,204.695
1168,4.255064,106.196208,15461.142,15512.920,0.07632674,204.692
1169,4.164443,106.121369,15474.196,15526.018,0.07632304,204.689
1170,4.073802,106.046573,15487.250,15539.116,0.07631927,204.686
1171,3.983143,105.971819,15500.303,15552.212,0.07631557,204.683
1172,3.892466,105.897107,15513.355,15565.308,0.07631172,204.680
1173,3.801772,105.822435,15526.406,15578.403,0.07630780,204.678
1174,3.711064,105.747803,15539.456,15591.497,0.07630410,204.675
1175,3.620342,105.673211,15552.505,15604.589,0.07630033,204.673
1176,3.529608,105.598658,15565.553,15617.681,0.07629626,204.670
1177,3.438864,105.524143,15578.600,15630.771,0.07629242,204.668
1178,3.348110,105.449666,15591.645,15643.860,0.07628843,204.666
1179,3.257347,105.375227,15604.689,15656.948,0.07628451,204.663
1180,3.166579,105.300824,15617.731,15670.033,0.07628044,204.661
1181,3.075805,105.226457,15630.771,15683.118,0.07627617,204.659
1182,2.985027,105.152127,15643.810,15696.200,0.07627225,204.657
1183,2.894247,105.077831,15656.847,15709.281,0.07626826,204.656
1184,2.803466,105.003571,15669.882,15722.360,0.07626398,204.654
1185,2.712685,104.929345,15682.915,15735.436,0.07625984,204.652
1186,2.621907,104.855153,15695.946,15748.511,0.07625557,204.651
1187,2.531132,104.780994,15708.975,15761.583,0.07625143,204.649
1188,2.440363,104.706868,15722.001,15774.653,0.07624716,204.648
1189,2.349600,104.632776,15735.024,15787.720,0.07624288,204.647
1190,2.258845,104.558715,15748.045,15800.784,0.07623852,204.645
1191,2.168100,104.484686,15761.064,15813.846,0.07623432,204.644
1192,2.077367,104.410688,15774.079,15826.905,0.07622990,204.643
1193,1.986646,104.336722,15787.091,15839.961,0.07622562,204.642
1194,1.895940,104.262787,15800.101,15853.014,0.07622120,204.641
1195,1.805250,104.188881,15813.107,15866.063,0.07621670,204.641
1196,1.714578,104.115006,15826.109,15879.110,0.07621250,204.640
1197,1.623925,104.041161,15839.108,15892.152,0.07620793,204.639
1198,1.533294,103.967345,15852.104,15905.191,0.07620344,204.639
1199,1.442685,103.893558,15865.095,15918.226,0.07619901,204.639
1200,1.352100,103.819800,15878.083,15931.258,0.07619429,204.638
